feature_file,feature_tokens,scale,metric,pct,base_backend,variant_backend,base,variant,improve_pct
fanopast,fanopast,0.4,tpot_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,1.43682103293065,1.445258981984608,-0.5872651402344249
fanopast,fanopast,0.4,tpot_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,1.5821802904407718,1.6354098173310267,-3.364314876873229
fanopast,fanopast,0.4,e2e_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,172.4459940160159,173.35816648846958,-0.5289612424217627
fanopast,fanopast,0.4,e2e_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,186.8058191088494,187.95047871826682,-0.6127537219546958
fanopast,fanopast,0.4,e2e_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,207.18130430526793,215.66687467886365,-4.095722054675742
fbsync,fbsync,0.4,ttft_ms,p50,roseinfer+batch16,roseinfer+batch16+fbsync,9.75499750347808,9.312929993029684,4.531702958312188
fbsync,fbsync,0.4,ttft_ms,p90,roseinfer+batch16,roseinfer+batch16+fbsync,15.65713319578208,15.254658507183194,2.5705516046022394
fbsync,fbsync,0.4,ttft_ms,p99,roseinfer+batch16,roseinfer+batch16+fbsync,26.173728694557205,24.458303730352778,6.553995360092303
fbsync,fbsync,0.4,itl_ms,p50,roseinfer+batch16,roseinfer+batch16+fbsync,1.2795520015060902,1.128416508436203,11.811594440241107
fbsync,fbsync,0.4,itl_ms,p90,roseinfer+batch16,roseinfer+batch16+fbsync,1.5353930066339672,1.3844842265825719,9.8286744435701
fbsync,fbsync,0.4,itl_ms,p99,roseinfer+batch16,roseinfer+batch16+fbsync,2.729389991145581,2.330942635890095,14.598403179761402
fbsync,fbsync,0.4,tpot_ms,p50,roseinfer+batch16,roseinfer+batch16+fbsync,1.3508925076453089,1.1839567558513586,12.35744153211197
fbsync,fbsync,0.4,tpot_ms,p90,roseinfer+batch16,roseinfer+batch16+fbsync,1.5205864706824355,1.4142419001269602,6.99365492235033
fbsync,fbsync,0.4,tpot_ms,p99,roseinfer+batch16,roseinfer+batch16+fbsync,1.9906532652969435,1.7720549721839125,10.981233996088363
fbsync,fbsync,0.4,e2e_ms,p50,roseinfer+batch16,roseinfer+batch16+fbsync,175.5709535209462,155.2347069955431,11.582921956949404
fbsync,fbsync,0.4,e2e_ms,p90,roseinfer+batch16,roseinfer+batch16+fbsync,197.32845071703196,184.0256522234995,6.741449823983372
fbsync,fbsync,0.4,e2e_ms,p99,roseinfer+batch16,roseinfer+batch16+fbsync,259.44624907569954,238.14091482956425,8.211849013827505
idleka,idleka,0.4,ttft_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,7.949915976496413,7.899443007772788,0.6348868198462237
idleka,idleka,0.4,ttft_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,9.83629620168358,10.330550209619105,-5.024797930047363
idleka,idleka,0.4,ttft_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,11.635485169827003,11.531023351708416,0.8977865262505417
idleka,idleka,0.4,itl_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,1.274758018553257,1.2747920118272305,-0.0026666452360930796
idleka,idleka,0.4,itl_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,1.5174136264249682,1.5231439843773842,-0.37763981109861827
idleka,idleka,0.4,itl_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,2.4203383596614008,2.3789898119867017,1.7083788103281414
idleka,idleka,0.4,tpot_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,1.330447748054083,1.3314974312256724,-0.07889698585492344
idleka,idleka,0.4,tpot_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,1.442046002232458,1.4379857958061308,0.28155873113904933
idleka,idleka,0.4,tpot_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,1.5756085286041588,1.5552822079217998,1.2900616056176193
idleka,idleka,0.4,e2e_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,172.16598900267854,172.4531474756077,-0.16679163787958276
idleka,idleka,0.4,e2e_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,186.18823157739826,186.90772137488239,-0.386431404062742
idleka,idleka,0.4,e2e_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan+idleka,204.8703487619059,205.66953392291904,-0.39009313248250727
lastlogits,lastlogits,0.4,ttft_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,8.06313099747058,8.09944850334432,-0.4504144343572316
lastlogits,lastlogits,0.4,ttft_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,11.507742403773591,12.005624710582197,-4.3264985375875415
lastlogits,lastlogits,0.4,ttft_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,14.800841882242814,14.954037317947941,-1.0350454178483066
lastlogits,lastlogits,0.4,itl_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,1.2711859890259802,1.2739350204356015,-0.21625721439296436
lastlogits,lastlogits,0.4,itl_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,1.5225702081806958,1.5280682186130434,-0.361100618073775
lastlogits,lastlogits,0.4,itl_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,2.553374816779981,2.5061025226023115,1.8513652546038515
lastlogits,lastlogits,0.4,tpot_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,1.3324910677072181,1.3362009882171617,-0.278419915889352
lastlogits,lastlogits,0.4,tpot_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+lastlogits+batch16+wupcg16+pmeta+fastplan,1.43682103293065,1.443007464665093,-0.4305638345107301
